"dptvar";"shrinkage";"tree.complexity";"bag.fraction";"stepsize";"optimal.trees";"min.RMSE";"dev.tot";"dev.res";"dev.exp";"nbrobs";"p.dev.exp"
"Cluster.1";0.03;1;0.7;10;143;3.76901773198839;18.7823046378064;14.2057958263986;4.57650881140776;413;24.4
"Cluster.2";0.03;1;0.7;10;127;10.949234718904;137.842623749818;119.899690990063;17.9429327597543;413;13
"Cluster.3";0.03;1;0.7;10;243;2.52486558021744;10.8214236285613;6.37556831488453;4.44585531367682;413;41.1
"Cluster.4";0.03;1;0.7;10;73;16.6188981070392;292.733635169538;276.222898952815;16.5107362167226;413;5.6
"Cluster.1";0.03;2;0.7;10;125;3.89540709674199;18.7823046378064;15.1747895530808;3.60751508472553;413;19.2
"Cluster.2";0.03;2;0.7;10;73;11.0283283225281;137.842623749818;121.638717667685;16.2039060821328;413;11.8
"Cluster.3";0.03;2;0.7;10;189;2.56269633263135;10.8214236285613;6.56805060748003;4.25337302108131;413;39.3
"Cluster.4";0.03;2;0.7;10;49;16.7011237521509;292.733635169538;278.965573715673;13.768061453865;413;4.7
"Cluster.1";0.03;3;0.7;10;111;3.95228315611439;18.7823046378064;15.6214396733406;3.16086496446573;413;16.8
"Cluster.2";0.03;3;0.7;10;59;11.1050406033959;137.842623749818;123.340639148434;14.5019846013831;413;10.5
"Cluster.3";0.03;3;0.7;10;183;2.60114432093924;10.8214236285613;6.76696235904866;4.05446126951268;413;37.5
"Cluster.4";0.03;3;0.7;10;48.5;16.6692274102033;292.733635169538;277.871424863205;14.8622103063332;413;5.1
"Cluster.1";0.03;1;0.8;10;129;3.7826779619615;18.7823046378064;14.3089594723317;4.47334516547465;413;23.8
"Cluster.2";0.03;1;0.8;10;119;10.9449898342955;137.842623749818;119.807429996077;18.0351937537409;413;13.1
"Cluster.3";0.03;1;0.8;10;229;2.52056481857424;10.8214236285613;6.35398493287305;4.46743869568829;413;41.3
"Cluster.4";0.03;1;0.8;10;75;16.6169961687962;292.733635169538;276.164119415418;16.56951575412;413;5.7
"Cluster.1";0.03;2;0.8;10;111;3.89835317594104;18.7823046378064;15.1977269388521;3.58457769895429;413;19.1
"Cluster.2";0.03;2;0.8;10;71;11.0331710970318;137.842623749818;121.742998004619;16.0996257451985;413;11.7
"Cluster.3";0.03;2;0.8;10;255;2.53230726984779;10.8214236285613;6.41364615007398;4.40777747848736;413;40.7
"Cluster.4";0.03;2;0.8;10;47;16.6979008478422;292.733635169538;278.865871348866;13.8677638206722;413;4.7
"Cluster.1";0.03;3;0.8;10;99;3.9546195201472;18.7823046378064;15.6393456539027;3.14295898390364;413;16.7
"Cluster.2";0.03;3;0.8;10;49;11.1271688875912;137.842623749818;123.823518908836;14.0191048409817;413;10.2
"Cluster.3";0.03;3;0.8;10;191;2.61638907279044;10.8214236285613;6.84625491290189;3.97516871565945;413;36.7
"Cluster.4";0.03;3;0.8;10;48.5;16.6761761327631;292.733635169538;278.112883309135;14.6207518604027;413;5
"Cluster.1";0.03;1;0.9;10;133;3.78421982141148;18.7823046378064;14.3204896978661;4.46181493994025;413;23.8
"Cluster.2";0.03;1;0.9;10;143;10.9126855542195;137.842623749818;119.100508617354;18.7421151324639;413;13.6
"Cluster.3";0.03;1;0.9;10;247;2.52227494367126;10.8214236285613;6.36218059169415;4.4592430368672;413;41.2
"Cluster.4";0.03;1;0.9;10;89;16.6268959297533;292.733635169538;276.488825983189;16.2448091863484;413;5.5
"Cluster.1";0.03;2;0.9;10;113;3.90986413291004;18.7823046378064;15.2874042226038;3.49490041520258;413;18.6
"Cluster.2";0.03;2;0.9;10;77;11.0279904736477;137.842623749818;121.629046695624;16.2135770541932;413;11.8
"Cluster.3";0.03;2;0.9;10;203;2.52857099666395;10.8214236285613;6.39465101468906;4.42677261387228;413;40.9
"Cluster.4";0.03;2;0.9;10;59;16.709915679178;292.733635169538;279.257476084622;13.4761590849163;413;4.6
"Cluster.1";0.03;3;0.9;10;95;3.96302697674445;18.7823046378064;15.706130862389;3.07617377541733;413;16.4
"Cluster.2";0.03;3;0.9;10;55;11.0914468930873;137.842623749818;123.034754076407;14.8078696734109;413;10.7
"Cluster.3";0.03;3;0.9;10;213;2.61948234341653;10.8214236285613;6.86200250492871;3.95942112363263;413;36.6
"Cluster.4";0.03;3;0.9;10;43.5;16.6893734066725;292.733635169538;278.540108924107;14.1935262454307;413;4.8
"Cluster.1";0.03;1;1;10;127;3.79693491722474;18.7823046378064;14.416833234939;4.36547140286732;413;23.2
"Cluster.2";0.03;1;1;10;151;10.8725302810865;137.842623749818;118.220147955823;19.6224757939948;413;14.2
"Cluster.3";0.03;1;1;10;311;2.53986321256936;10.8214236285613;6.45109550268978;4.37032812587157;413;40.4
"Cluster.4";0.03;1;1;10;128.5;16.555414511512;292.733635169538;274.090378983175;18.643256186363;413;6.4
"Cluster.1";0.03;2;1;10;119;3.92206689110843;18.7823046378064;15.3827399673231;3.39956467048328;413;18.1
"Cluster.2";0.03;2;1;10;93;10.9818226196418;137.842623749818;120.606449744325;17.2361740054924;413;12.5
"Cluster.3";0.03;2;1;10;235;2.51990399160197;10.8214236285613;6.35059151907798;4.47083210948336;413;41.3
"Cluster.4";0.03;2;1;10;51;16.7321517366728;292.733635169538;280.012269099149;12.7213660703884;413;4.3
"Cluster.1";0.03;3;1;10;105;3.96924901216941;18.7823046378064;15.755293122279;3.02701151552733;413;16.1
"Cluster.2";0.03;3;1;10;55;10.9782529955401;137.842623749818;120.528222692816;17.3144010570015;413;12.6
