"dptvar";"shrinkage";"tree.complexity";"bag.fraction";"stepsize";"optimal.trees";"min.RMSE";"dev.tot";"dev.res";"dev.exp";"nbrobs";"p.dev.exp"
"TSS";0.03;1;1;30;307;0.930070447737939;1.3536097165265;0.865054933070696;0.488554783455805;326;36.1
"aCDOM400";0.03;1;1;30;379;0.37786895842357;0.171241716976082;0.14279647637526;0.0284452406008215;395;16.6
"TSS";0.03;2;1;30;187;0.924714512127747;1.3536097165265;0.855127989808131;0.49848172671837;326;36.8
"aCDOM400";0.03;2;1;30;187;0.375350851990292;0.171241716976082;0.14089726276094;0.0303444542151416;395;17.7
"TSS";0.03;3;1;30;139;0.928495176323452;1.3536097165265;0.8621229464253;0.491486770101201;326;36.3
"aCDOM400";0.03;3;1;30;151;0.372910225028098;0.171241716976082;0.139065867050782;0.0321758499253;395;18.8
"TSS";0.03;4;1;30;157;0.928075155079217;1.3536097165265;0.861353794376517;0.492255922149984;326;36.4
"aCDOM400";0.03;4;1;30;115;0.373431933930187;0.171241716976082;0.139456035871582;0.0317856811044999;395;18.6
"TSS";0.03;5;1;30;139;0.928221394413269;1.3536097165265;0.861610951945411;0.49199876458109;326;36.3
"aCDOM400";0.03;5;1;30;97;0.37367929680914;0.171241716976082;0.139640163891715;0.0316015530843666;395;18.5
"TSS";0.03;1;0.7;40;185;0.934307841417586;1.3536097165265;0.872950543838687;0.480659172687814;326;35.5
"aCDOM400";0.03;1;0.7;40;265;0.378583917402507;0.171241716976082;0.143337478996287;0.0279042379797947;395;16.3
"TSS";0.03;2;0.7;40;153;0.926512583781639;1.3536097165265;0.858443021388118;0.495166695138383;326;36.6
"aCDOM400";0.03;2;0.7;40;161;0.375470452904762;0.171241716976082;0.140983060066751;0.0302586569093302;395;17.7
"TSS";0.03;3;0.7;40;161;0.925937498279968;1.3536097165265;0.857372328783124;0.496237387743377;326;36.7
"aCDOM400";0.03;3;0.7;40;131;0.37319997759641;0.171241716976082;0.139280453445333;0.0319612635307485;395;18.7
"TSS";0.03;4;0.7;40;151;0.924410464612572;1.3536097165265;0.85455273709978;0.499056979426721;326;36.9
"TSS";0.03;1;0.8;40;217;0.934707058757959;1.3536097165265;0.873693953094964;0.479915763431537;326;35.5
"aCDOM400";0.03;1;0.8;40;289;0.378064761724484;0.171241716976082;0.142942653962218;0.0282990630138638;395;16.5
"TSS";0.03;2;0.8;40;153;0.924727955556182;1.3536097165265;0.855142795024104;0.498466921502397;326;36.8
"aCDOM400";0.03;2;0.8;40;177;0.374866253266836;0.171241716976082;0.140532964728847;0.0307087522472341;395;17.9
"TSS";0.03;3;0.8;40;121;0.926884969444447;1.3536097165265;0.859133068507871;0.49447664801863;326;36.5
"aCDOM400";0.03;3;0.8;40;129;0.372738225411206;0.171241716976082;0.138942916954454;0.0322988000216274;395;18.9
"TSS";0.03;4;0.8;40;121;0.925517125574978;1.3536097165265;0.856622579308383;0.496987137218117;326;36.7
"aCDOM400";0.03;4;0.8;40;121;0.3737739486144;0.171241716976082;0.139713806245332;0.0315279107307498;395;18.4
"TSS";0.03;5;0.8;40;121;0.926423726308737;1.3536097165265;0.858311940865172;0.495297775661329;326;36.6
"TSS";0.03;1;0.9;40;225;0.933912040635085;1.3536097165265;0.872213170450986;0.481396546075515;326;35.6
"aCDOM400";0.03;1;0.9;40;313;0.377642861788965;0.171241716976082;0.142624645787972;0.0286170711881091;395;16.7
"TSS";0.03;2;0.9;40;153;0.925509751262244;1.3536097165265;0.856587140511831;0.497022576014669;326;36.7
"aCDOM400";0.03;2;0.9;40;177;0.374526864922481;0.171241716976082;0.140278301833057;0.0309634151430244;395;18.1
"TSS";0.03;3;0.9;40;129;0.928173178020908;1.3536097165265;0.861548653570094;0.492061062956407;326;36.4
"aCDOM400";0.03;3;0.9;40;121;0.37332280037693;0.171241716976082;0.139374148546149;0.0318675684299326;395;18.6
"TSS";0.03;4;0.9;40;129;0.928735078963108;1.3536097165265;0.862596744696848;0.491012971829653;326;36.3
"aCDOM400";0.03;4;0.9;40;121;0.372796650979303;0.171241716976082;0.138982199964019;0.0322595170120621;395;18.8
"TSS";0.03;5;0.9;40;121;0.929269497606659;1.3536097165265;0.863568587669001;0.4900411288575;326;36.2
"TSS";0.03;1;1;40;305;0.930096657872089;1.3536097165265;0.865103948990074;0.488505767536426;326;36.1
"aCDOM400";0.03;1;1;40;385;0.377922193538265;0.171241716976082;0.142836982413279;0.0284047345628025;395;16.6
"TSS";0.03;2;1;40;177;0.924689038214313;1.3536097165265;0.855084243026313;0.498525473500188;326;36.8
"aCDOM400";0.03;2;1;40;169;0.375321336774125;0.171241716976082;0.140874963462508;0.0303667535135734;395;17.7
"TSS";0.03;3;1;40;145;0.928850833287655;1.3536097165265;0.862782448332078;0.490827268194423;326;36.3
"aCDOM400";0.03;3;1;40;161;0.372910861675915;0.171241716976082;0.139066646144763;0.0321750708313187;395;18.8
"TSS";0.03;4;1;40;153;0.928007743755245;1.3536097165265;0.861233406241195;0.492376310285306;326;36.4
"aCDOM400";0.03;4;1;40;121;0.37312487587013;0.171241716976082;0.139227484810766;0.0320142321653152;395;18.7
